Solicitação;UsuarioSolicit;Etapa;Item;Descrição;Comprador;Solicitação;DtAprovSol;Entrega;Qt.Solicitada;PrUnitSol;VlSolicitacao;Qt.Recebida;Saldo;Pedido;Dt.Pedido;Ordem;Fornec;Nome Abreviado;Pre‡o Unit rio;Vlr Total;DtAprovPedido;Estado;Sit.Ordem;DtRejeitoPed;Aprovador
108.803;2372_mauro;10_RECEBIDA;641030067;NITRATO DE SODIO;miriam;03/03/2025;04/03/2025;17/03/2025;150;15,189;2.278,35;150;0;82.328;04/03/2025;193.855;3476;BUSCHLE;18,3;2.745,00;11/03/2025;Aprovada;Recebida;;2475_luciano
108.809;massao;10_RECEBIDA;651010904;PLUG FEMEA PA 3P+T 16A 380/440V;miriam;03/03/2025;03/03/2025;11/03/2025;15;10;150;15;0;82.318;03/03/2025;193.843;2296;ELETRORASTRO;11,75;176,25;05/03/2025;Aprovada;Recebida;;alexandreo
108.809;massao;10_RECEBIDA;651200226;CABO FLEXIVEL 2,50MM 750V PT;miriam;03/03/2025;03/03/2025;11/03/2025;100;1,46;146;100;0;82.318;03/03/2025;193.844;2296;ELETRORASTRO;2,78;278;05/03/2025;Aprovada;Recebida;;alexandreo
108.815;2483_caio;10_RECEBIDA;651100132;ROLAMENTO RIGIDO DE ESFERA 6208 ZZ;irineu;03/03/2025;04/03/2025;04/04/2025;8;30,258;242,064;8;0;73.612;05/05/2022;193.856;2425;ROLSUL;36,9;295,2;;Aprovada;Recebida;;2475_luciano
108.815;2483_caio;10_RECEBIDA;651100083;ROLAMENTO CONTATO ANGULAR 7010 CTYNSUL P4;irineu;03/03/2025;04/03/2025;25/03/2025;4;523,4716;2.093,89;4;0;75.672;05/12/2022;193.857;3235;RADIAL FILIA;677,5225;2.710,09;;Aprovada;Recebida;;2475_luciano
108.815;2483_caio;10_RECEBIDA;651100083;ROLAMENTO CONTATO ANGULAR 7010 CTYNSUL P4;irineu;03/03/2025;04/03/2025;04/04/2025;6;523,4716;3.140,83;6;0;75.672;05/12/2022;193.858;3235;RADIAL FILIA;677,52333;4.065,14;;Aprovada;Recebida;;2475_luciano
108.815;2483_caio;10_RECEBIDA;651100091;ROLAMENTO CONTATO ANGULAR 20TAC47B;irineu;03/03/2025;04/03/2025;20/03/2025;4;376,6588;1.506,64;4;0;75.672;05/12/2022;193.859;3235;RADIAL FILIA;215,6;862,4;;Aprovada;Recebida;;2475_luciano
108.815;2483_caio;10_RECEBIDA;651100091;ROLAMENTO CONTATO ANGULAR 20TAC47B;irineu;03/03/2025;04/03/2025;04/04/2025;6;376,6588;2.259,95;6;0;75.672;05/12/2022;193.860;3235;RADIAL FILIA;215,6;1.293,60;;Aprovada;Recebida;;2475_luciano
108.815;2483_caio;10_RECEBIDA;651011378;SENSOR MAGNÉTICO CILINDRO MZT7-03VPS-KRDS08;irineu;03/03/2025;04/03/2025;10/04/2025;4;249,4648;997,8592;4;0;82.381;07/03/2025;193.861;5417;DIMEN SC;283,03;1.132,12;03/04/2025;Aprovada;Recebida;;2475_luciano
108.817;2522_josiane;00_RejCompras;812000003;COMPRESSA DE GAZE;vanessac;03/03/2025;03/03/2025;03/03/2025;50;1;50;0;0;0;;0;0;;1;0;;Não Aprovada;;;2522_josiane
108.817;2522_josiane;00_RejCompras;812000004;SORO FISIOLOGICO;vanessac;03/03/2025;03/03/2025;03/03/2025;5;5;25;0;0;0;;0;0;;5;0;;Não Aprovada;;;2522_josiane
108.817;2522_josiane;00_RejCompras;812000005;ESPARADRAPO 4,5CM;vanessac;03/03/2025;03/03/2025;03/03/2025;2;5;10;0;0;0;;0;0;;5;0;;Não Aprovada;;;2522_josiane
108.817;2522_josiane;00_RejCompras;812000006;MICROPOLE 4,5 CM;vanessac;03/03/2025;03/03/2025;03/03/2025;5;5;25;0;0;0;;0;0;;5;0;;Não Aprovada;;;2522_josiane
108.822;2372_mauro;09_PDACEITO_FOR;641030012;ÓXIDO DE ALUMÍNIO MARRON RN GR120;Miriam;04/03/2025;04/03/2025;04/04/2025;1.000,00;3,51;3.510,00;0;1.000,00;60.707;08/02/2019;193.862;1030;ABRASPAR;8,87;8.870,00;;Aprovada;Recebida;;2475_luciano
108.822;2372_mauro;09_PDACEITO_FOR;641030012;ÓXIDO DE ALUMÍNIO MARRON RN GR120;Miriam;04/03/2025;04/03/2025;11/04/2025;1.000,00;3,51;3.510,00;0;1.000,00;60.707;08/02/2019;193.863;1030;ABRASPAR;8,87;8.870,00;;Aprovada;Recebida;;2475_luciano
108.823;2372_mauro;10_RECEBIDA;801090418;MARCADOR INDUSTRIAL AZUL PONTA 2MM - 60ML;miriam;04/03/2025;04/03/2025;17/03/2025;12;7,3787;88,5444;12;0;82.345;05/03/2025;193.866;1581;WODONIS;8,89;106,68;11/03/2025;Aprovada;Recebida;;clayton
108.827;2511_matheus;09_PEDIDO_FOR;701930085PO;Polimento - Matriz inf Bosch P;irineu;04/03/2025;04/03/2025;22/04/2025;1;240;240;0;1;82.359;06/03/2025;193.867;2319;POLYTECKY;240;240;07/03/2025;Aprovada;Confirmada;;clayton
108.828;2483_caio;10_RECEBIDA;651011577;INTERRUPTOR GATILHO F000600221 ESMERILHADEIRA BOSCH FWS20-18;irineu;04/03/2025;05/03/2025;09/04/2025;1;76;76;1;0;82.710;08/04/2025;193.901;6373;FORTEMAK;63,18;63,18;09/04/2025;Aprovada;Recebida;;2475_luciano
108.828;2483_caio;10_RECEBIDA;651310361;INTERRUPTOR TIPO PERA COR PRETA;irineu;04/03/2025;05/03/2025;09/04/2025;20;10;200;20;0;82.711;08/04/2025;193.902;6096;ILUMATEL;13,9;278;09/04/2025;Aprovada;Recebida;;2475_luciano
108.831;2483_caio;11_SAL_FOR;651080080;CORREIA 3VX 300;irineu;04/03/2025;05/03/2025;22/04/2025;10;15,97;159,7;8;2;82.391;10/03/2025;193.903;2778;TRATORACO;15,97;31,94;11/03/2025;Aprovada;Confirmada;;2475_luciano
108.831;2483_caio;10_RECEBIDA;651030751;MANOMETRO MA-40-10-1/8-EN FESTO;irineu;04/03/2025;05/03/2025;10/04/2025;2;105;210;2;0;82.365;06/03/2025;193.904;1276;FLUID CENTER;105;210;07/03/2025;Aprovada;Recebida;;2475_luciano
108.831;2483_caio;10_RECEBIDA;651011355;RELE DE POTENCIA 30A 2NAF 120 VCA SCHNEIDER;irineu;04/03/2025;05/03/2025;10/04/2025;2;70;140;2;0;82.381;07/03/2025;193.905;5417;DIMEN SC;57,46;114,92;03/04/2025;Aprovada;Recebida;;2475_luciano
108.831;2483_caio;09_PDACEITO_FOR;651140331;SENSOR MAGNETICO MBF 214K-PS-C-2A-SA2-S49-0,5;irineu;04/03/2025;05/03/2025;10/05/2025;6;419,4322;2.516,59;0;6;82.404;11/03/2025;193.906;5417;DIMEN SC;505,34;3.032,04;12/03/2025;Aprovada;Confirmada;;2475_luciano
108.832;2483_caio;10_RECEBIDA;651030172;AMORTECEDOR DE IMPACTO SC650 M2 M25X1,5-PN 196-0008 (OBR;irineu;04/03/2025;05/03/2025;10/03/2025;2;948;1.896,00;2;0;82.374;07/03/2025;193.907;5768;OBR EQUIPAME;1.170,71;2.341,42;07/03/2025;Aprovada;Recebida;;2475_luciano
108.832;2483_caio;12_ELIMINADA;991010054;COMPONENTES DE SERVICO;irineu;04/03/2025;05/03/2025;11/03/2025;2;6;12;0;2;82.375;07/03/2025;193.908;5768;OBR EQUIPAME;5,16003;10,3201;;Aprovada;Eliminada;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651100038;ROLAMENTO ESFERA 6204 DDU;irineu;04/03/2025;05/03/2025;20/03/2025;4;13,95;55,8;4;0;73.612;05/05/2022;193.909;2425;ROLSUL;13,95;55,8;;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651100038;ROLAMENTO ESFERA 6204 DDU;irineu;04/03/2025;05/03/2025;08/04/2025;6;13,95;83,7;6;0;73.612;05/05/2022;193.910;2425;ROLSUL;13,95;83,7;;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651100207;ROLAMENTO 6007 ZZ;irineu;04/03/2025;05/03/2025;20/03/2025;4;18,4172;73,6688;4;0;73.612;05/05/2022;193.911;2425;ROLSUL;22,46;89,84;;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651100207;ROLAMENTO 6007 ZZ;irineu;04/03/2025;05/03/2025;10/04/2025;4;18,4172;73,6688;4;0;73.612;05/05/2022;193.912;2425;ROLSUL;22,46;89,84;;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651180007;ABRACADEIRA NYLON T-80I;irineu;04/03/2025;05/03/2025;31/03/2025;200;0,1653;33,06;200;0;82.363;06/03/2025;193.913;3775;FORTFLEX;0,1992;39,84;07/03/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651240133;GRAXA DE CAVIDADE WURTH 200ML;irineu;04/03/2025;05/03/2025;14/04/2025;6;43,1517;258,9102;6;0;82.756;14/04/2025;193.914;5084;WURTH II;30,37;182,22;14/04/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651140048;SENSOR KITA KT07PQT - COM CONECTOR;irineu;04/03/2025;05/03/2025;04/04/2025;6;207,5;1.245,00;6;0;82.405;11/03/2025;193.915;2130;TAIPAN;250;1.500,00;11/03/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651040147;REGISTRO DE 32MM;irineu;04/03/2025;05/03/2025;20/03/2025;2;39,674;79,348;2;0;82.397;10/03/2025;193.916;4614;BALAROTI MER;30,9;61,8;11/03/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651020285;REGISTRO DE ESFERA PVC C/ UNIÃO SOLDÁVEL 50MM;irineu;04/03/2025;05/03/2025;20/03/2026;3;24,54;73,62;3;0;82.397;10/03/2025;193.917;4614;BALAROTI MER;33,9;101,7;11/03/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651030610;ELETRODO 6013 2,5MM;irineu;04/03/2025;05/03/2025;20/03/2025;2;160,771;321,542;2;0;82.362;06/03/2025;193.918;1218;FERR GERAIS;52,25;104,5;14/03/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651030610;ELETRODO 6013 2,5MM;irineu;04/03/2025;05/03/2025;20/03/2025;2;160,771;321,542;2;0;82.362;06/03/2025;193.919;1218;FERR GERAIS;52,25;104,5;14/03/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651180011;ABRAÇADEIRA MANGUEIRA 19-27;irineu;04/03/2025;05/03/2025;20/03/2025;15;3,7599;56,3985;15;0;82.363;06/03/2025;193.920;3775;FORTFLEX;4,88;73,2;07/03/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;09_PEDIDO_FOR;641011152;OLEO MINERAL VM100;irineu;04/03/2025;05/03/2025;30/04/2025;2;79,1405;158,281;0;2;82.766;15/04/2025;193.921;4889;BUSCH DO BRA;118,18;236,36;17/04/2025;Aprovada;Confirmada;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651210154;MANGUEIRA 1/2 TRANCADA PVC CRISTAL;irineu;04/03/2025;05/03/2025;20/03/2025;10;5,7021;57,021;10;0;82.363;06/03/2025;193.922;3775;FORTFLEX;6,93;69,3;07/03/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;09_PDACEITO_FOR;651040287;VARETA EM AÇO INOX COM REVESTIMENTO EM CROMO DURO;irineu;04/03/2025;05/03/2025;22/04/2025;1;2.015,24;2.015,24;0;1;82.423;12/03/2025;193.923;1699;JAMO;2.506,91;2.506,91;14/03/2025;Aprovada;Confirmada;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651020629;"MANGUEIRA TRANSPARENTE COM ESPIRAL DE AÇO 1""";irineu;04/03/2025;05/03/2025;20/03/2025;10;32,9676;329,676;10;0;82.363;06/03/2025;193.924;3775;FORTFLEX;39,72;397,2;07/03/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651100283;ROLAMENTO 6203 ZZ NSK;irineu;04/03/2025;05/03/2025;20/03/2025;4;9,22;36,88;4;0;73.612;05/05/2022;193.925;2425;ROLSUL;9,22;36,88;;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651100166;ROLAMENTO 7204C;irineu;04/03/2025;05/03/2025;20/03/2025;2;214,0238;428,0476;2;0;73.612;05/05/2022;193.926;2425;ROLSUL;338,95;677,9;;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651100056;ROLAMENTO 6206ZZ;irineu;04/03/2025;05/03/2025;20/03/2025;3;24,8412;74,5236;3;0;73.612;05/05/2022;193.927;2425;ROLSUL;20,24;60,72;;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651100080;ROLAMENTO CONTATO ANGULAR 7007 CTYNSUL P4;irineu;04/03/2025;05/03/2025;20/03/2025;4;396,8894;1.587,56;4;0;75.672;05/12/2022;193.928;3235;RADIAL FILIA;311,65;1.246,60;;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651010355;RELE DE ESTADO SOLIDO 100A 480V SSR 48100 8824011100 NOVUS;irineu;04/03/2025;05/03/2025;24/03/2025;3;162,6302;487,8906;3;0;82.381;07/03/2025;193.929;5417;DIMEN SC;207,68;623,04;03/04/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651010355;RELE DE ESTADO SOLIDO 100A 480V SSR 48100 8824011100 NOVUS;irineu;04/03/2025;05/03/2025;10/04/2025;2;162,6302;325,2604;2;0;82.381;07/03/2025;193.930;5417;DIMEN SC;207,68;415,36;03/04/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651010948;RELE TEMPO SIEMENS 7PU07-3AW00 - A7B10001295801;irineu;04/03/2025;05/03/2025;24/03/2025;2;113,2784;226,5568;2;0;82.381;07/03/2025;193.931;5417;DIMEN SC;138,23;276,46;03/04/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651140316;SENSOR INDUTIVO IME08-02BPSZT0S 50MM;irineu;04/03/2025;05/03/2025;10/04/2025;8;111,054;888,432;8;0;82.381;07/03/2025;193.932;5417;DIMEN SC;149,97;1.199,76;03/04/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;09_PEDIDO_FOR;651140316;SENSOR INDUTIVO IME08-02BPSZT0S 50MM;irineu;04/03/2025;05/03/2025;07/03/2025;8;111,054;888,432;0;8;82.381;07/03/2025;193.933;5417;DIMEN SC;149,97;1.199,76;03/04/2025;Aprovada;Eliminada;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651140317;SENSOR INDUTIVO IME08-02BPSZT0K 41MM;irineu;04/03/2025;05/03/2025;10/04/2025;4;125,7616;503,0464;4;0;82.381;07/03/2025;193.934;5417;DIMEN SC;156,35;312,7;03/04/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651010395;CONTROLADOR TEMPERATURA N480D RRR NOVUS 100-240VAC;irineu;04/03/2025;05/03/2025;10/04/2025;1;790,0355;790,0355;1;0;82.381;07/03/2025;193.935;5417;DIMEN SC;1.001,58;1.001,58;03/04/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651011543;CONTROLADOR DE TEMPERATURA N1030 NOVUS;irineu;04/03/2025;05/03/2025;10/04/2025;1;184,5754;184,5754;1;0;82.381;07/03/2025;193.936;5417;DIMEN SC;234;234;03/04/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651300416;REFLETOR DE LED 30W 80-265V IP65;irineu;04/03/2025;05/03/2025;24/03/2025;10;15,4961;154,961;10;0;82.381;07/03/2025;193.937;5417;DIMEN SC;20,54;205,4;03/04/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651180034;ABRAÇADEIRA NYLON T-50R;irineu;04/03/2025;05/03/2025;20/03/2025;300;0,0562;16,86;300;0;82.363;06/03/2025;193.938;3775;FORTFLEX;0,1151;34,53;07/03/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651044391;GUIA LINEAR BLOCO PGQ20-PC-PL-N -HGH20;irineu;04/03/2025;05/03/2025;15/03/2025;16;226,9635;3.631,42;16;0;73.612;05/05/2022;193.939;2425;ROLSUL;220;3.520,00;;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651240130;"DISCO DE CORTE 4.1/2"" X 1MM X 7/8"" G24";irineu;04/03/2025;05/03/2025;20/03/2025;50;4,92;246;50;0;82.362;06/03/2025;193.940;1218;FERR GERAIS;7,2088;360,44;14/03/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651090175;ELEMENTO DE FILTRO HYDAC 0240D010BN3HC;irineu;04/03/2025;05/03/2025;20/03/2025;2;302,95;605,9;2;0;82.364;06/03/2025;193.941;6288;DIMIDOL;1.415,72;2.831,44;07/03/2025;Aprovada;Recebida;;2475_luciano
108.834;2483_caio;10_RECEBIDA;651090249;ELEMENTO DE FILTRO 011.032.P/FR24A 125M;irineu;04/03/2025;05/03/2025;20/03/2025;2;174,3;348,6;2;0;82.368;06/03/2025;193.942;1263;FILTROSUL;210;420;07/03/2025;Aprovada;Recebida;;2475_luciano
108.836;2372_mauro;10_RECEBIDA;641050014;PAPEL HIGIENICO ROLAO 8 X 300MT 9CM CELULOSE FLAMINGO;Miriam;04/03/2025;04/03/2025;14/03/2025;4;74,9;299,6;4;0;81.221;14/10/2024;193.868;6172;VS PRODUTOS;74,9;299,6;;Aprovada;Recebida;;clayton
108.836;2372_mauro;10_RECEBIDA;641050015;PAPEL TOALHA 22.5 X 20,5CM C/ 5000 FOLHAS - INDAIAL SOFT;Miriam;04/03/2025;04/03/2025;14/03/2025;10;169,8;1.698,00;10;0;81.221;14/10/2024;193.869;6172;VS PRODUTOS;169,8;1.698,00;;Aprovada;Recebida;;clayton
108.836;2372_mauro;10_RECEBIDA;641050910;PEDRA SANITARIA 25 GR HARPIC;Miriam;04/03/2025;04/03/2025;14/03/2025;10;4,5;45;10;0;81.221;14/10/2024;193.870;6172;VS PRODUTOS;4,5;45;;Aprovada;Recebida;;clayton
108.836;2372_mauro;10_RECEBIDA;641050076;PERFIL SABONETE 800ML - BELL PLUS ERVA DOCE;Miriam;04/03/2025;04/03/2025;14/03/2025;4;7,8;31,2;4;0;81.221;14/10/2024;193.871;6172;VS PRODUTOS;7,8;31,2;;Aprovada;Recebida;;clayton
108.836;2372_mauro;10_RECEBIDA;641050911;SABAO PEDRA 5/200 GR NEUTRO;Miriam;04/03/2025;04/03/2025;14/03/2025;2;15,9;31,8;2;0;81.221;14/10/2024;193.872;6172;VS PRODUTOS;15,9;31,8;;Aprovada;Recebida;;clayton
108.836;2372_mauro;10_RECEBIDA;641050012;SACO LIXO 100LT 75 X 80 X 4CM  AZUL;Miriam;04/03/2025;04/03/2025;14/03/2025;2;27,5;55;2;0;81.221;14/10/2024;193.873;6172;VS PRODUTOS;27,5;55;;Aprovada;Recebida;;clayton
108.836;2372_mauro;10_RECEBIDA;641050011;SACO LIXO 100LT 75 X 80 X 4CM PRETO;Miriam;04/03/2025;04/03/2025;14/03/2025;2;27,5;55;2;0;81.221;14/10/2024;193.874;6172;VS PRODUTOS;27,5;55;;Aprovada;Recebida;;clayton
108.836;2372_mauro;10_RECEBIDA;641050013;SACO LIXO 100LT 75 X 80 X 4CM VERMELHO;Miriam;04/03/2025;04/03/2025;14/03/2025;2;29,5;59;2;0;81.221;14/10/2024;193.875;6172;VS PRODUTOS;29,5;59;;Aprovada;Recebida;;clayton
108.836;2372_mauro;10_RECEBIDA;641050008;SACO LIXO 40LT 50 X 60 X 4CM PRETO;Miriam;04/03/2025;04/03/2025;14/03/2025;5;11,9;59,5;5;0;81.221;14/10/2024;193.876;6172;VS PRODUTOS;11,9;59,5;;Aprovada;Recebida;;clayton
108.836;2372_mauro;10_RECEBIDA;641050010;SACO LIXO 40LT 50 X 60 X 4CM VERMELHO;Miriam;04/03/2025;04/03/2025;14/03/2025;6;26,9;161,4;6;0;81.221;14/10/2024;193.877;6172;VS PRODUTOS;26,9;53,8;;Aprovada;Recebida;;clayton
108.836;2372_mauro;10_RECEBIDA;641050072;SAPOLIO CREMOSO 250ML;Miriam;04/03/2025;04/03/2025;14/03/2025;7;9,98;69,86;7;0;81.221;14/10/2024;193.878;6172;VS PRODUTOS;9,98;69,86;;Aprovada;Recebida;;clayton
108.836;2372_mauro;10_RECEBIDA;641050073;VEJA MULTI USO;Miriam;04/03/2025;04/03/2025;14/03/2025;8;7,5;60;8;0;81.221;14/10/2024;193.879;6172;VS PRODUTOS;7,5;60;;Aprovada;Recebida;;clayton
108.836;2372_mauro;10_RECEBIDA;641050908;ALCOOL 92,8 INPM 1 LT;Miriam;04/03/2025;04/03/2025;14/03/2025;10;10,4;104;10;0;81.221;14/10/2024;193.880;6172;VS PRODUTOS;10,4;104;;Aprovada;Recebida;;clayton
108.836;2372_mauro;10_RECEBIDA;641050103;DESODORIZADOR 400ML PURO AR ACQUA;Miriam;04/03/2025;04/03/2025;14/03/2025;12;9,98;119,76;12;0;81.221;14/10/2024;193.881;6172;VS PRODUTOS;9,98;119,76;;Aprovada;Recebida;;clayton
108.836;2372_mauro;10_RECEBIDA;641050016;DISCO LIMPADOR VERDE 410MM BRITISH;Miriam;04/03/2025;04/03/2025;14/03/2025;3;25,9;77,7;3;0;81.221;14/10/2024;193.882;6172;VS PRODUTOS;25,9;77,7;;Aprovada;Recebida;;clayton
108.836;2372_mauro;10_RECEBIDA;641050896;DISCO 510MM REMOVEDOR PRETO TININDO;Miriam;04/03/2025;04/03/2025;14/03/2025;2;42,9;85,8;2;0;81.221;14/10/2024;193.883;6172;VS PRODUTOS;42,9;85,8;;Aprovada;Recebida;;clayton
108.836;2372_mauro;10_RECEBIDA;641050087;ESCOVA SANITARIA S/ POTE;Miriam;04/03/2025;04/03/2025;14/03/2025;5;8,5;42,5;5;0;81.221;14/10/2024;193.884;6172;VS PRODUTOS;8,5;42,5;;Aprovada;Recebida;;clayton
108.836;2372_mauro;10_RECEBIDA;641040006;ESPONJA M USO 75 X 110CM;Miriam;04/03/2025;04/03/2025;14/03/2025;20;1,45;29;20;0;81.221;14/10/2024;193.885;6172;VS PRODUTOS;1,45;29;;Aprovada;Recebida;;clayton
108.836;2372_mauro;10_RECEBIDA;641050903;LUSTRA MOVEIS;Miriam;04/03/2025;04/03/2025;14/03/2025;6;9,9;59,4;6;0;81.221;14/10/2024;193.886;6172;VS PRODUTOS;9,9;59,4;;Aprovada;Recebida;;clayton
108.841;2511_matheus;10_RECEBIDA;701930085PO;Polimento - Matriz inf Bosch P;irineu;04/03/2025;06/03/2025;21/03/2025;1;240;240;1;0;82.386;10/03/2025;193.970;2319;POLYTECKY;240;240;18/03/2025;Aprovada;Recebida;;clayton
108.841;2511_matheus;10_RECEBIDA;701900154PO;PS POLIMENTO MATRIZ SUPERIOR PRE FORMA ITEM 212020154;irineu;04/03/2025;06/03/2025;21/03/2025;1;690;690;1;0;82.386;10/03/2025;193.971;2319;POLYTECKY;690;690;18/03/2025;Aprovada;Recebida;;clayton
108.841;2511_matheus;10_RECEBIDA;701900139PO;MATRIZ SUPERIOR PRE-FORMA ITEM 212020139 - POLIMENTO;irineu;04/03/2025;06/03/2025;21/03/2025;1;550;550;1;0;82.386;10/03/2025;193.972;2319;POLYTECKY;550;550;18/03/2025;Aprovada;Recebida;;clayton
108.841;2511_matheus;10_RECEBIDA;701920323PO;MATRIZ SUPERIOR FINAL ITEM 212020323 POLIMENTO;irineu;04/03/2025;06/03/2025;21/03/2025;2;1.440,00;2.880,00;2;0;82.386;10/03/2025;193.973;2319;POLYTECKY;1.440,00;2.880,00;18/03/2025;Aprovada;Recebida;;clayton
108.841;2511_matheus;10_RECEBIDA;701930323PO;MATRIZ INFERIOR FINAL ITEM 212020323 POLIMENTO;irineu;04/03/2025;06/03/2025;21/03/2025;2;1.920,00;3.840,00;2;0;82.386;10/03/2025;193.974;2319;POLYTECKY;1.920,00;3.840,00;18/03/2025;Aprovada;Recebida;;clayton
